dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,894.5277924537659,8.698461532592773,76861.808,757.485,0.9482271682982865,0.06115271159518947,0.18728283530229325,0.04093839204879955,0.0921997947314403,0.5731722216267469,0.9482271682982865,0.06115271159518947,0.18728283530229325,0.04093839204879955,0.0921997947314403,0.9630179770752733,0.995348849030741,0.9591191980840107
Variant I,0,987231,908.7311611175537,8.923983335494995,79211.354,783.157,0.9756158236183601,0.07966706302021404,0.06984016678248783,0.011487542793817902,0.0744306609887058,0.529176311994335,0.9756158236183601,0.07966706302021404,0.06984016678248783,0.011487542793817902,0.0744306609887058,0.8933405332570002,0.9777565280480822,0.9177219224706571
Variant II,0,987231,906.782751083374,8.97120213508606,79065.517,783.319,0.9324471976976733,0.048109399456297886,0.2029186935371786,0.05716561454890864,0.0777785176799627,0.572876539494135,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,861.6651604175568,10.668185472488403,75148.054,925.165,0.9458108510708729,0.037876106194690264,0.16138763197586728,0.04548573341143001,0.06135321100917431,0.5579509492822187,0.9458108510708729,0.037876106194690264,0.16138763197586728,0.04548573341143001,0.06135321100917431,0.9664605654156349,0.9931309168365419,0.9991421138414606
Variant IV,0,987231,865.274790763855,10.672636270523071,75413.43,933.01,0.948355622496607,0.03430304178906472,0.13650075414781296,0.042636599447744956,0.054827716773949264,0.546932077350034,0.948355622496607,0.03430304178906472,0.13650075414781296,0.042636599447744956,0.054827716773949264,0.9682781352757149,0.9830986080901757,0.9979228021642631
Variant V,0,987231,864.5979554653168,10.748685359954834,75423.657,941.285,0.9623539342580025,0.04771260174010665,0.1282051282051282,0.028390929629319724,0.06954387400286356,0.5499070992879042,0.9623539342580025,0.04771260174010665,0.1282051282051282,0.028390929629319724,0.06954387400286356,0.9954575348006947,0.9915456374960382,0.9832287231367697
Base,1,79954,907.5303826332092,8.792165756225586,79138.666,767.785,0.9626800513143198,0.07558242930819847,0.14767199444058374,0.02571574161566889,0.09998823667803787,0.5609781264124574,0.9626800513143198,0.07558242930819847,0.14767199444058374,0.02571574161566889,0.09998823667803787,0.9796731403442465,0.9944607391826211,0.9949349786381639
Variant I,1,79954,904.1539485454559,9.005715608596802,78817.34,784.8,0.9724013462757914,0.08182912154031288,0.0945100764419736,0.015099044188945837,0.08771364076104483,0.5397055161265139,0.9724013462757914,0.08182912154031288,0.0945100764419736,0.015099044188945837,0.08771364076104483,0.9410334618247786,0.99544341763218,0.9968610347711794
Variant II,1,79954,905.6976199150085,9.01320195198059,79175.978,761.031,0.9493488122530608,0.05043124101581217,0.1462821403752606,0.039216947341341304,0.07500445394619633,0.5535325965169596,0.9493488122530608,0.05043124101581217,0.1462821403752606,0.039216947341341304,0.07500445394619633,0.9991055482109725,0.9908005576650062,0.9928699582728224
Variant III,1,79954,865.2004828453064,10.637238025665283,75755.641,929.877,0.8474171604488728,0.0239797479622778,0.3250377073906486,0.14678687975901597,0.04466436954325242,0.5891254138158163,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,866.3435378074646,10.649802207946777,75732.387,932.145,0.9355821112913371,0.03479325745569803,0.18212669683257918,0.056058070454355284,0.05842506350550381,0.563034313189112,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,870.5632829666138,10.73971676826477,75889.405,938.158,0.9608187957231289,0.05015177510888214,0.14328808446455504,0.030110451008283825,0.07429856290937531,0.5565888167281356,0.9608187957231289,0.05015177510888214,0.14328808446455504,0.030110451008283825,0.07429856290937531,0.997939853860585,0.981539486631193,0.972634333990716
Base,2,567130,912.2164726257324,9.091662406921387,79530.282,792.388,0.9705820663281483,0.09295120061967467,0.1250868658790827,0.01737964607461424,0.10665086653829063,0.5538536099022342,0.9705820663281483,0.09295120061967467,0.1250868658790827,0.01737964607461424,0.10665086653829063,0.9555591193006937,0.9723721402097797,0.9939817287454314
Variant I,2,567130,913.9822995662689,9.08921766281128,79829.578,795.821,0.849095166089459,0.03549316293083468,0.3724808895066018,0.14411869471434507,0.06481061636588978,0.6141810973961284,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,912.4293797016144,8.969343662261963,79848.721,776.801,0.8969562460367787,0.03891443877293172,0.2675469075747047,0.09408208497417529,0.06794617251268475,0.5867324113002647,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,872.7855923175812,10.920789003372192,76124.686,948.415,0.8646678142275481,0.028194662480376765,0.33861236802413275,0.129495439712158,0.05205495333603848,0.6045584641559875,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,871.626558303833,10.652260541915894,76158.204,935.514,0.8772882253633023,0.02607932607932608,0.2801659125188537,0.116086519956489,0.04771690963971486,0.5820396962811822,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,2,567130,875.2029647827148,10.703883409500122,76573.877,934.644,0.9368855308020788,0.040947176684881605,0.2119155354449472,0.055070705380302905,0.06863283873725347,0.5784224150323222,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,3,500891,914.0219707489014,9.123436212539673,79895.199,797.428,0.9747915965484779,0.10462707182320442,0.10528144544822794,0.012828187381575496,0.10495323865604433,0.5462266290333262,0.9747915965484779,0.10462707182320442,0.10528144544822794,0.012828187381575496,0.10495323865604433,0.9457493357208873,0.98429119723983,0.9390659811662873
Variant I,3,500891,914.181140422821,9.09936237335205,79929.475,793.676,0.9472367201599922,0.06094458577590974,0.19145239749826268,0.042002255951556405,0.09245742092457421,0.5747250707733531,0.9472367201599922,0.06094458577590974,0.19145239749826268,0.042002255951556405,0.09245742092457421,0.9927437573828674,0.9817181268242373,0.9844031666286464
Variant II,3,500891,915.7936260700226,9.15937066078186,80070.271,803.081,0.8252036486025072,0.032803152731705934,0.40201528839471856,0.16877090218273208,0.06065689795276417,0.6166221931059933,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,3,500891,873.941659450531,10.757177829742432,76444.705,934.216,0.9823024595319275,0.06246634356488961,0.043740573152337855,0.007283909296293197,0.051452650255045466,0.5182283319280224,0.9823024595319275,0.06246634356488961,0.043740573152337855,0.007283909296293197,0.051452650255045466,0.9684790868949271,0.9295674568520171,0.8580539907700176
