dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,513.9243619441986,5.743294954299927,110110.454,911.422,0.9456370633770871,0.12636716984543073,0.4857539958304378,0.047815052465455914,0.20055950075317414,0.7189694716824909,0.9456370633770871,0.12636716984543073,0.4857539958304378,0.047815052465455914,0.20055950075317414,0.9999359743435327,0.984688874689891,0.9339020777304949
Variant I,0,987231,508.1101884841919,5.370063543319702,109495.482,890.078,0.9640456563094483,0.15197521301316808,0.3408617095205003,0.027081313201274413,0.210221793635487,0.656890198159613,0.9640456563094483,0.15197521301316808,0.3408617095205003,0.027081313201274413,0.210221793635487,0.9780673705146642,0.9723678144305746,0.9984641188995353
Variant II,0,987231,507.5308425426483,5.624760389328003,110144.177,899.878,0.9419394175893859,0.12530100473303993,0.5243224461431549,0.05211445985791463,0.2022652637222706,0.7361039931426202,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,481.4224622249603,6.755347490310669,105801.233,1223.34,0.9704516865834685,0.13343132451412706,0.3080693815987934,0.022198979164923437,0.18621082621082619,0.6429352012169349,0.9704516865834685,0.13343132451412706,0.3080693815987934,0.022198979164923437,0.18621082621082619,0.9705922944529953,0.9682631049847046,0.9904269400119189
Variant IV,0,987231,483.51687026023865,6.699307918548584,104495.473,1070.915,0.9415199112847165,0.0781835550003674,0.40120663650075417,0.052485147686386076,0.1308652604390874,0.674360744407184,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,481.30204820632935,6.767206907272339,105845.23,1240.973,0.9646338839418717,0.12303363601483566,0.3627450980392157,0.028687975901598193,0.18374558303886926,0.6670285610688088,0.9646338839418717,0.12303363601483566,0.3627450980392157,0.028687975901598193,0.18374558303886926,0.9978141589046615,0.9972643014216073,0.9527000322156894
Base,1,79954,513.1399803161621,5.7119574546813965,110232.334,911.648,0.9386862168371454,0.11715910886395955,0.5152883947185546,0.05528538140729124,0.19091143151390322,0.7300015066556317,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,512.1112504005432,5.692245721817017,110211.523,906.917,0.9328520559972684,0.10516391064693936,0.5038220986796387,0.06103932083984723,0.17400696027841114,0.7213913889198957,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,513.6787722110748,5.866703271865845,110303.776,923.382,0.9557289888298132,0.14752047315741584,0.4506601806810285,0.03707973007737518,0.22227934875749786,0.7067902253018267,0.9557289888298132,0.14752047315741584,0.4506601806810285,0.03707973007737518,0.22227934875749786,0.9987893077289631,0.9926798940496937,0.9611945439455021
Variant III,1,79954,485.22574639320374,6.944275617599487,106199.537,1125.231,0.9575085239498162,0.10464029897228277,0.38009049773755654,0.036084846456363485,0.1641025641025641,0.6720028256405965,0.9575085239498162,0.10464029897228277,0.38009049773755654,0.036084846456363485,0.1641025641025641,0.9969886537356312,0.9994154380045317,0.9690247585845926
Variant IV,1,79954,486.9601528644562,6.880848169326782,104558.05,1075.275,0.9693510212188421,0.11335176451455521,0.26282051282051283,0.022809806710735504,0.15839109192137257,0.6200053530548887,0.9693510212188421,0.11335176451455521,0.26282051282051283,0.022809806710735504,0.15839109192137257,0.9820752375511972,0.9798047116274579,0.9499660286709213
Variant V,1,79954,484.322021484375,6.930670738220215,105859.061,1137.973,0.9407709622960045,0.0928072625698324,0.501131221719457,0.05435110032633252,0.15661088852227198,0.7233900606965623,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,509.14459681510925,5.599340200424194,109550.511,897.888,0.9562755169234821,0.144426267819584,0.4294649061848506,0.036223674511336595,0.2161594963273872,0.696620615836757,0.9562755169234821,0.144426267819584,0.4294649061848506,0.036223674511336595,0.2161594963273872,0.9470072872224133,0.9964925459914965,0.9370063466838107
