dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,784.1371312141418,7.7392191886901855,142973.168,1065.338,0.9630214964075099,0.15935100680863393,0.3822098679638638,0.028708820430112848,0.22492587669972397,0.6767505237668755,0.9630214964075099,0.15935100680863393,0.3822098679638638,0.028708820430112848,0.22492587669972397,0.9666681283271378,0.9979201438491697,0.9769482935818833
Variant I,0,987231,784.8391871452332,7.5999226570129395,142527.158,1047.846,0.9467635725086582,0.12265214124718257,0.45378735232800554,0.04621732333326737,0.19310956676031346,0.7037850144973691,0.9467635725086582,0.12265214124718257,0.45378735232800554,0.04621732333326737,0.19310956676031346,0.9862714294341546,0.9672929451586719,0.9963480349825281
Variant II,0,987231,785.3642461299896,7.769713401794434,142925.594,1070.098,0.9425881664309058,0.12651209677419356,0.5232800555941626,0.05144163220074011,0.20376133134893792,0.7359192116967113,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,751.8989191055298,9.246549367904663,137122.63,1276.222,0.9686765533450297,0.12099260172626387,0.2960030165912519,0.023859928039494605,0.17177242888402627,0.6360715442758786,0.9686765533450297,0.12099260172626387,0.2960030165912519,0.023859928039494605,0.17177242888402627,0.9982785647438215,0.9707091043451859,0.8933720356644371
Variant IV,0,987231,748.4056935310364,8.95386552810669,137176.85,1233.907,0.9434109040352213,0.0838115372999094,0.41855203619909503,0.05076562630742197,0.1396577755410166,0.6838932049458365,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,744.4300620555878,8.903111934661865,136162.884,1233.451,0.928787778476613,0.0808476333064609,0.5294117647058824,0.06678102250857669,0.14027375362174044,0.7313153710986527,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,775.2463414669037,7.646796226501465,141358.101,1041.154,0.9411543770822054,0.11984770733322297,0.5031271716469771,0.05260892580627607,0.19358288770053475,0.7252591229203506,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,777.3744440078735,7.698464870452881,142636.639,1059.369,0.9381005804594897,0.11315249960574042,0.49861014593467684,0.05564185779589575,0.18444730077120822,0.7214841440693905,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,780.7410199642181,7.5573179721832275,142720.065,1054.503,0.9493341788205454,0.13245227606461088,0.4701181375955525,0.04384263748441612,0.20667532269151456,0.7131377500555682,0.9493341788205454,0.13245227606461088,0.4701181375955525,0.04384263748441612,0.20667532269151456,0.997061747988797,0.974209509931973,0.9864152405488407
Variant III,1,79954,745.062469959259,8.945043563842773,136420.222,1224.627,0.9747467642093416,0.1296415539815411,0.2277526395173454,0.016965107522383064,0.16523047462727397,0.6053937659974812,0.9747467642093416,0.1296415539815411,0.2277526395173454,0.016965107522383064,0.16523047462727397,0.9574804421665678,0.9117027855392416,0.9479047577613486
