dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,354.8380720615387,4.254910230636597,7987.0,98.613,0.9586851437239953,0.14409368635437883,0.3933287004864489,0.03326522636086141,0.21091857648593254,0.6800317370627937,0.9586851437239953,0.14409368635437883,0.3933287004864489,0.03326522636086141,0.21091857648593254,0.9658688179819367,0.9617994324245155,0.9604838710612712
Variant I,0,987231,355.78889513015747,4.212790489196777,8493.403,100.737,0.9722208672747671,0.177319587628866,0.2689367616400278,0.017765618506718383,0.21372359519536102,0.6255855715666547,0.9722208672747671,0.177319587628866,0.2689367616400278,0.017765618506718383,0.21372359519536102,0.9654190404196106,0.9947405852548564,0.9768887249639934
Variant II,0,987231,355.68203568458557,4.357411861419678,8674.387,105.41,0.9499682942295498,0.12997693310600741,0.45031271716469773,0.04291749945580116,0.20172776091524633,0.7036976088544483,0.9499682942295498,0.12997693310600741,0.45031271716469773,0.04291749945580116,0.20172776091524633,0.9476309767738043,0.9955177858702652,0.9757493467729221
Variant III,0,987231,339.8532338142395,5.0727927684783936,8364.989,122.666,0.9691813697904598,0.12188584042888678,0.29147812971342385,0.023299305497447912,0.1718923726929064,0.634089412107988,0.9691813697904598,0.12188584042888678,0.29147812971342385,0.023299305497447912,0.1718923726929064,0.9904920636937377,0.9586305485962561,0.9751349728605053
Variant IV,0,987231,340.9009087085724,4.9466047286987305,8411.714,120.424,0.9565733721738555,0.08829396325459317,0.31711915535444946,0.03633168772487658,0.1381292600804796,0.6403937338147864,0.9565733721738555,0.08829396325459317,0.31711915535444946,0.03633168772487658,0.1381292600804796,0.9654365779260826,0.997183881790245,0.9655869725676708
Variant V,0,987231,338.5216374397278,5.057756185531616,8354.803,122.499,0.9606077658975802,0.11484970838941229,0.3861236802413273,0.03301815747636181,0.17704011065006914,0.6765527613824828,0.9606077658975802,0.11484970838941229,0.3861236802413273,0.03301815747636181,0.17704011065006914,0.9654147347510864,0.9998687777362987,0.9913076372852856
Base,1,79954,354.5143024921417,4.236077547073364,8736.219,103.105,0.9336474628190683,0.1092896174863388,0.5211952744961779,0.060479981002607194,0.18069023670421006,0.7303576467467854,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,356.0605902671814,4.236599683761597,8802.068,103.694,0.9641919906346031,0.1546200278594645,0.34711605281445446,0.027021946055053134,0.21394153549630582,0.6600470533797006,0.9641919906346031,0.1546200278594645,0.34711605281445446,0.027021946055053134,0.21394153549630582,0.9857973866584744,0.9263658284317343,0.9001592481401762
Variant II,1,79954,356.07330679893494,4.216164588928223,8735.0,102.298,0.966060192185747,0.16513460275771505,0.34954829742876997,0.02516177547345299,0.2243032329988852,0.6621932609776585,0.966060192185747,0.16513460275771505,0.34954829742876997,0.02516177547345299,0.2243032329988852,0.9743562703549282,0.9964293197808867,0.9625399090317143
Variant III,1,79954,335.85395669937134,4.856015920639038,8282.703,118.317,0.9633014995531133,0.11255141468278698,0.3404977375565611,0.02978830223412267,0.16918032786885245,0.6553547176612192,0.9633014995531133,0.11255141468278698,0.3404977375565611,0.02978830223412267,0.16918032786885245,0.9741435801188905,0.9927079039979709,0.9786908492664371
Variant IV,1,79954,336.1612198352814,4.877340316772461,8305.803,119.587,0.9468825515574829,0.0845231296402056,0.39064856711915535,0.04694586227093967,0.13897645717351936,0.6718513524241078,0.9468825515574829,0.0845231296402056,0.39064856711915535,0.04694586227093967,0.13897645717351936,0.988117922691603,0.9481403890101693,0.994869027780291
Variant V,1,79954,336.32268023490906,4.762207746505737,8209.025,115.225,0.9532631004005429,0.10545056149000274,0.43552036199095023,0.04099238557442892,0.16979051819184124,0.6972639882082606,0.9532631004005429,0.10545056149000274,0.43552036199095023,0.04099238557442892,0.16979051819184124,0.989294247055476,0.9998933744591693,0.9931881010627119
Base,2,567130,352.835773229599,4.159195184707642,8639.269,101.82,0.9855958948544224,0.38095238095238093,0.04169562195969423,0.0009647113534158203,0.07516442217350454,0.5203654553031393,0.9855958948544224,0.38095238095238093,0.04169562195969423,0.0009647113534158203,0.07516442217350454,0.9341063164155308,0.9696107118665144,0.792402434229645
Variant I,2,567130,351.5412211418152,4.161346197128296,8642.297,101.701,0.9446807472806205,0.11584203359055834,0.443363446838082,0.04818138642075476,0.18368962787015042,0.6975910302086636,0.9446807472806205,0.11584203359055834,0.443363446838082,0.04818138642075476,0.18368962787015042,0.9472828593869856,0.9827656665336005,0.9863198158302364
Variant II,2,567130,351.25513434410095,4.162678003311157,8611.672,102.289,0.9449636603092532,0.12826183104820876,0.5038220986796387,0.048755268834227136,0.2044701403088204,0.7275334149227058,0.9449636603092532,0.12826183104820876,0.5038220986796387,0.048755268834227136,0.2044701403088204,0.95979104266561,0.9844385930475167,0.9960716741985254
Variant III,2,567130,334.5863537788391,4.891960382461548,8177.063,116.403,0.9705509947366678,0.11765713307073129,0.25904977375565613,0.02155468161660112,0.16181839594865152,0.6187475460695274,0.9705509947366678,0.11765713307073129,0.25904977375565613,0.02155468161660112,0.16181839594865152,0.9816064883512179,0.968888391069958,0.9691991769674004
Variant IV,2,567130,335.66007900238037,5.020846605300903,8323.016,125.234,0.9660779900029792,0.10158045977011494,0.26659125188536953,0.026160990712074304,0.14710778193924262,0.6202151305866476,0.9660779900029792,0.10158045977011494,0.26659125188536953,0.026160990712074304,0.14710778193924262,0.9914261448452096,0.9888047387431936,0.9791469451215319
Variant V,2,567130,332.7822959423065,4.868035316467285,8265.41,119.045,0.9575954185838658,0.10560747663551402,0.3834841628959276,0.03603464145259811,0.16560820713238886,0.6737247607216647,0.9575954185838658,0.10560747663551402,0.3834841628959276,0.03603464145259811,0.16560820713238886,0.9806757188962779,0.9792323854120116,0.9642148068586748
Base,3,500891,355.14435482025146,4.162124395370483,8785.331,101.944,0.9398617635151284,0.11764705882352941,0.5052119527449618,0.05394962722563856,0.19085121743125286,0.7256311627596616,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,355.66859459877014,4.173259735107422,8773.897,103.598,0.9650553631530169,0.1569004162664105,0.3405142460041696,0.02605228266677221,0.2148180622533976,0.6572309816686988,0.9650553631530169,0.1569004162664105,0.3405142460041696,0.02605228266677221,0.2148180622533976,0.9985240741337105,0.9818320972153461,0.9877400548484893
