dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,815.4636144638062,9.45398759841919,17323.185,199.973,0.9012150567530522,0.08203425712086221,0.5924252953439889,0.09438834826574583,0.14411292367509088,0.7490184735391215,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,812.9252803325653,9.350158452987671,17396.589,206.548,0.9347495244134433,0.10203926919869608,0.467685892981237,0.05860032058258959,0.16752753749455473,0.7045427861993236,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,812.7037081718445,9.349900722503662,17453.904,199.163,0.9193795424613433,0.09538771638605643,0.5590687977762335,0.07549027368254407,0.1629697153853945,0.7417892620468448,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,776.8312184810638,11.008163690567017,16714.27,234.556,0.8860273428448475,0.05556349092986716,0.5867269984917044,0.11065182829888712,0.10151356993736953,0.7380375850964087,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,775.720899105072,10.996232032775879,16654.903,229.167,0.898610513423152,0.056936615434526945,0.5294117647058824,0.09729311354698351,0.10281571527955768,0.7160593255794494,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,777.4478168487549,10.887847185134888,16709.083,227.925,0.898991194677083,0.06185816116950586,0.579185520361991,0.09746046355953476,0.11177819015391334,0.7408625284012282,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,814.8773424625397,9.30055022239685,17495.173,195.658,0.9233358210047266,0.09249031930425951,0.5062543432939541,0.07072571029965419,0.1564059900166389,0.7177643164971501,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,817.9965345859528,9.491792678833008,17630.234,200.54,0.9394078337642067,0.10640052787858792,0.448227936066713,0.05359863851344666,0.17197706972403679,0.6973146487766331,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,813.7462348937988,9.329563617706299,17486.137,196.894,0.9089410272669626,0.09016818936877076,0.603544127866574,0.08671066431836622,0.15689639598952215,0.758416731774104,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,777.5828282833099,11.013685941696167,16739.42,239.503,0.8572941838524943,0.04806654931576855,0.6383861236802413,0.14027696427077233,0.08940170037492738,0.7490545797047345,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,775.5165181159973,11.045447587966919,16735.46,241.762,0.8995870435962793,0.056433408577878104,0.5184766214177979,0.09618441971383147,0.10178776326016951,0.7111461008519832,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,779.5550456047058,10.872160911560059,16787.079,236.699,0.895904366248469,0.061117828308436366,0.5908748114630468,0.10071123755334281,0.11077727899331943,0.745081786954852,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,816.8540916442871,9.42405366897583,17719.225,199.297,0.8938105760178722,0.078491744756805,0.6111883252258513,0.10216540594559027,0.1391173679215438,0.7545114596401306,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,817.446971654892,9.435413360595703,17779.539,207.126,0.9145944100287791,0.08871647832686794,0.5482974287699791,0.0801901727583955,0.1527219937091701,0.7340536280057918,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,819.1782672405243,9.43422794342041,17775.744,203.197,0.9173211062874982,0.08925861062463514,0.5312717164697707,0.0771822373498506,0.1528388644542183,0.72704473955996,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,782.9469971656799,11.048357486724854,17082.855,233.781,0.8908975801913337,0.056480269309893395,0.5693815987933635,0.10553510166513262,0.10276652941776976,0.7319232485641155,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,777.2218198776245,11.005353689193726,16925.637,231.81,0.9672117580853388,0.08991910392034848,0.21794871794871795,0.02447493933562045,0.12731277533039648,0.5967368893065488,0.9672117580853388,0.08991910392034848,0.21794871794871795,0.02447493933562045,0.12731277533039648,0.9814986133662266,0.9616098635042211,0.9447180739624667
Variant V,2,567130,781.218136548996,11.019829273223877,17000.009,242.064,0.9010683902148366,0.06013326159831147,0.5478883861236803,0.09501296962597272,0.10837217975013987,0.7264377082488538,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,3,500891,817.5754404067993,9.42024040222168,17765.781,202.189,0.9033271385437854,0.08488115657926978,0.6018068102849201,0.09237976975555698,0.14877807842631963,0.7547135202646816,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,821.2306544780731,9.459581851959229,17707.547,201.289,0.9055607043558851,0.08184078339844741,0.5604586518415566,0.08952565650169196,0.14282551910390934,0.7354664976699323,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,3,500891,817.5315635204315,9.388110637664795,17554.584,202.459,0.884688551777962,0.07552338894340857,0.6417651146629604,0.11185265074307878,0.13514304529157825,0.7649562319599408,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,3,500891,779.5338678359985,11.234791278839111,16752.625,236.803,0.9306622198682512,0.07015298348265984,0.43401206636500755,0.06382729478704711,0.120782832257726,0.6850923857889802,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,3,500891,785.4553644657135,11.08622932434082,16933.112,229.478,0.9171190704756861,0.05736118186449312,0.42458521870286575,0.07741611580620869,0.1010681267390719,0.6735845514483286,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,3,500891,782.2119512557983,11.084883689880371,16923.603,240.739,0.9284360621006985,0.07686528347685373,0.5015082956259427,0.06682704376202828,0.13329992483086947,0.7173406259319571,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,4,55399,824.7717516422272,9.354682922363281,17919.441,201.353,0.9312183248703728,0.10351162297746061,0.5090340514246005,0.06277055206225604,0.17203922259409313,0.7231317496811722,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,4,55399,818.1393530368805,9.590254545211792,17714.331,202.083,0.9219013706648456,0.09226948152747594,0.5163307852675469,0.07232402588407576,0.1565611336458937,0.7220033796917356,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,4,55399,825.5941874980927,9.5911226272583,17787.004,207.266,0.9095751426759671,0.09197498697238145,0.613273106323836,0.08620604357548532,0.1599601232553924,0.7635335313741752,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,4,55399,788.8034653663635,11.061909437179565,17024.325,232.112,0.8949733523122249,0.056850970911643144,0.5497737556561086,0.10119655258974145,0.10304615167149622,0.7242886015331836,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,4,55399,787.2348453998566,11.19794249534607,16965.261,244.448,0.8940754410937138,0.05654543346345611,0.551659125188537,0.10212534515940089,0.10257668711656442,0.7247668900145681,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,4,55399,784.5192604064941,10.951343059539795,16917.385,239.46,0.9449625939289615,0.08347023390440429,0.4023378582202112,0.0490168186762614,0.13825720764496274,0.6766605197719748,0.9449625939289615,0.08347023390440429,0.4023378582202112,0.0490168186762614,0.13825720764496274,0.9711664214523059,0.9905223960560128,0.9867395652710564
Base,5,135049,814.1162414550781,9.322222471237183,17513.615,207.827,0.9088048933959642,0.08643589207278812,0.574357192494788,0.08643319002834768,0.15025906735751296,0.7439620012332202,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,5,135049,816.3275647163391,9.373151063919067,17495.505,195.697,0.9241549192722306,0.09096778358835303,0.48957609451007644,0.06965745156630321,0.15342734251646975,0.7099593214718866,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,5,135049,821.1902031898499,9.469101667404175,17676.685,201.302,0.9101068240573631,0.08879369612353906,0.5833912439193885,0.0852413274493895,0.1541286088034149,0.7490749582349995,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,5,135049,782.1833431720734,11.076451301574707,16830.12,241.858,0.9494397365023668,0.08320989805698353,0.360105580693816,0.04402142080160656,0.1351829570387147,0.6580420799461048,0.9494397365023668,0.08320989805698353,0.360105580693816,0.04402142080160656,0.1351829570387147,0.9833409350611403,0.9608616142010589,0.9924284617554476
Variant IV,5,135049,782.0481560230255,11.1066312789917,16826.669,232.036,0.80212850475024,0.03791381920857716,0.6987179487179487,0.19672412350430926,0.07192485347203353,0.7509969126068197,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,5,135049,786.981451511383,11.196542978286743,17012.744,243.144,0.9078503095104108,0.06601185735775596,0.5625942684766214,0.08831896912392269,0.11815949948523008,0.7371376496763493,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,6,733378,826.2550091743469,9.512314796447754,17741.754,203.447,0.9131753905887977,0.09054988475469213,0.5733148019457956,0.08198562332721525,0.15639810426540282,0.7456645893092902,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,6,733378,823.647664308548,9.382877588272095,17746.885,205.031,0.8345397785473879,0.057527295532939934,0.7011813759555247,0.16356143510181465,0.10633084806491556,0.768809970426855,0.9859616604068094,0,0.0,0.0,0,0,0,0
