dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,493.3684780597687,8.111432552337646,11206.867,191.237,0.9677139275453512,0.16699305679188178,0.3259207783182766,0.023148125244269863,0.22083578575632723,0.6513863265370032,0.9677139275453512,0.16699305679188178,0.3259207783182766,0.023148125244269863,0.22083578575632723,0.9830087636392666,0.9879665116488161,0.9916465870277814
Variant I,0,987231,490.99880743026733,8.117162227630615,11865.794,198.109,0.9275401199941467,0.0944673935125618,0.48471160528144547,0.06615478993924762,0.15811844715216775,0.709278407671099,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,490.30507826805115,8.178619146347046,12052.771,201.682,0.9362860348275693,0.11230394396223542,0.5125086865879083,0.05768012981615974,0.1842368223832126,0.7274142783858742,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,470.55958127975464,9.723556756973267,11601.767,241.267,0.9434729716309709,0.08622115312335564,0.4325037707390649,0.05085766881432516,0.14377937950485742,0.6908230509623698,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,474.16291642189026,9.799607753753662,11698.075,243.108,0.9560933827667252,0.08825659596482152,0.32164404223227755,0.036867207765040585,0.138507753511407,0.6423884172336184,0.9560933827667252,0.08825659596482152,0.32164404223227755,0.036867207765040585,0.138507753511407,0.9655618595048983,0.9580121235253645,0.9695246731957916
Variant V,0,987231,470.240971326828,9.571179389953613,11600.6,235.321,0.957661624019332,0.10430152432658175,0.3766968325791855,0.03589239394192954,0.16336876533115294,0.670402219318628,0.957661624019332,0.10430152432658175,0.3766968325791855,0.03589239394192954,0.16336876533115294,0.9895237909385021,0.9714913861288803,0.9955431321672081
Base,1,79954,491.47571063041687,8.289010047912598,12073.737,207.127,0.9397105521167157,0.10831130204890946,0.4555246699096595,0.053395536602138194,0.17501001201441732,0.7010645666537607,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,491.46949672698975,8.333555698394775,12135.859,204.328,0.9539534656846007,0.12270009199632015,0.3707435719249479,0.03774266321017949,0.18437878002419217,0.6665004543573843,0.9539534656846007,0.12270009199632015,0.3707435719249479,0.03774266321017949,0.18437878002419217,0.9862246832719752,0.982329089204396,0.9580488988742762
Variant II,1,79954,490.677903175354,8.309711217880249,11985.89,204.425,0.9036876249939028,0.08624834420840896,0.6108408617095205,0.09214275819761344,0.15115429259275182,0.7593490517559535,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,467.91797971725464,9.668160915374756,11492.429,235.526,0.9405723459896057,0.08651129943502825,0.46191553544494723,0.054116810308760775,0.14572924101832027,0.7038993625680933,0.9890264490714687,0,0.0,0.0,0,0,0,0
