dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,45.428940773010254,1.519573450088501,3632.01,134.737,0.2555472633175781,0.015968141295423545,0.8582348853370396,0.7530338935255501,0.03135293632307487,0.5526004959057448,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,45.07953453063965,1.5222856998443604,4132.073,139.804,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,45.377636671066284,1.516549825668335,4292.977,145.711,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,42.94934320449829,1.8265173435211182,3051.46,172.542,0.22204889271409184,0.012390367607212193,0.8880090497737556,0.7853401389005105,0.024439728309092513,0.5513344554366226,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,43.37785863876343,1.6580264568328857,4197.842,135.019,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,42.92860126495361,1.7930114269256592,4215.325,179.197,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,45.4626362323761,1.4989218711853027,4303.574,150.047,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,45.48188376426697,1.5061087608337402,4456.345,150.183,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,44.68652296066284,1.5139987468719482,4585.776,137.877,0.22998390322423296,0.015335830930594733,0.8519805420430855,0.778872222112283,0.030129327558135965,0.5365541599654012,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,42.995429277420044,1.7940242290496826,4455.195,185.588,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,43.95452833175659,1.6666600704193115,4574.841,168.956,0.34627925452679664,0.012967956355427353,0.779788838612368,0.6585306668898,0.025511651719075757,0.5606290858612839,0.9890264490714687,0,0.0,0.0,0,0,0,0
