dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,67.71013879776001,1.3813531398773193,5463.953,111.962,0.9200579481101014,0.050980392156862744,0.2665045170257123,0.07063666002087735,0.08558835016459299,0.5979339285024174,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,63.38590455055237,1.3048365116119385,5179.82,105.988,0.5795278279108336,0.018781403407450187,0.5649756775538568,0.4202649753626343,0.036354286608610106,0.5723553510956113,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,62.943533420562744,1.301196575164795,5233.649,107.213,0.6515779718062533,0.025223702800786767,0.6327310632383599,0.34815368175251815,0.04851342710997442,0.6422886907429208,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,60.240394115448,1.5450396537780762,5078.827,135.349,0.7969065510278394,0.024009677683917003,0.44155354449472095,0.1991506986863024,0.04554293714996889,0.6212014229042092,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,62.246442556381226,1.712296485900879,5341.133,144.73,0.7272956734747923,0.021180602867481187,0.527526395173454,0.2704878252865869,0.04072602360886715,0.6285192849434336,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,62.88691329956055,1.6497747898101807,5398.581,144.481,0.7037679168459731,0.02077105954648463,0.5633484162895928,0.29467408585055643,0.04006489762533689,0.6343371652195182,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,62.32344150543213,1.2996826171875,5389.137,111.52,0.6978649926101527,0.027715140174958817,0.6021542738012509,0.3007722638065036,0.05299127004754843,0.6506910049973736,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,63.763222455978394,1.297269582748413,5543.326,111.797,0.7454270523389103,0.028800214042732104,0.5236275191104934,0.2514149169849405,0.05459749293529455,0.6361063010627765,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,63.44242453575134,1.3333115577697754,5548.863,122.378,0.874659772694015,0.039922574401161384,0.3439888811674774,0.11778441810302179,0.07154213036565979,0.6131022315322278,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,60.28456497192383,1.53299880027771,5317.187,140.727,0.7865991922936874,0.023512223629102953,0.4551282051282051,0.20972303572922768,0.04471446829792358,0.6227025846994887,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,60.257911682128906,1.532097339630127,5342.393,132.567,0.5009020490582277,0.01710276395074666,0.7877073906485671,0.5022801439210108,0.033478637135805636,0.6427136233637781,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,59.680548667907715,1.6757948398590088,5321.484,151.107,0.8515756893640968,0.02769720753000057,0.36726998491704377,0.1430507907288093,0.05150986302818764,0.6121095970941172,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,62.75607991218567,1.3142428398132324,5618.058,115.123,0.6605450439244723,0.026528700391756088,0.6494093120222376,0.3392964038529087,0.05097504432019637,0.6550564540846645,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,63.32756996154785,1.3034744262695312,5678.169,116.36,0.8275693868591776,0.03422456824832176,0.41452397498262683,0.16654958146161913,0.06322874708501165,0.6239871967605037,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,62.9771146774292,1.3093810081481934,5686.076,116.909,0.7249109799521974,0.03148089785341598,0.6247394023627519,0.27366275503136567,0.05994132551006801,0.6755383236656931,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,59.86403131484985,1.5308067798614502,5426.49,143.199,0.8121751795822437,0.024815440718669396,0.42081447963800905,0.18348255376119152,0.046867125818914834,0.6186659629384088,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,60.39999508857727,1.5318291187286377,5481.437,143.958,0.6125740673309279,0.018492251672453212,0.6587481146304676,0.38793824784536857,0.03597463036942465,0.6354049333925494,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,2,567130,60.46249008178711,1.6714816093444824,5517.151,152.921,0.6820732232116257,0.019546632124352332,0.5690045248868778,0.31667224500041835,0.03779492060311576,0.6261661399432298,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,3,500891,62.43580675125122,1.2960975170135498,5699.279,118.017,0.9134534244503953,0.04077849860982391,0.2293259207783183,0.07680586544502876,0.06924408540103866,0.5762600276666447,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,62.81122016906738,1.3032450675964355,5734.98,116.65,0.4541046778205941,0.019876706296785555,0.7842251563585824,0.5505956503670869,0.0387707424330917,0.6168147529957477,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,3,500891,62.567423582077026,1.3024377822875977,5701.574,117.515,0.8049509780010731,0.03381824577271928,0.467685892981237,0.19024696732828053,0.06307551723329975,0.6387194628264782,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,3,500891,59.804701805114746,1.5318827629089355,5455.584,134.065,0.8315030288986726,0.031827237622057705,0.4879336349924585,0.16468496360137228,0.059756632570597344,0.6616243356955431,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,3,500891,61.19746494293213,1.5367462635040283,5587.613,144.563,0.011010791485981,0.01097395960490435,1.0,0.999962346247176,0.02170967807952848,0.5000188268764121,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,3,500891,59.820425510406494,1.6626768112182617,5468.207,153.575,0.8138261776291833,0.024760365456708646,0.41591251885369535,0.18175884863191366,0.04673827835335495,0.6170768351108908,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,4,55399,63.98492622375488,1.3164093494415283,5862.705,118.507,0.8500958485154455,0.03663162097418153,0.3825573314801946,0.14324726788797476,0.06686099471670615,0.6196550317961099,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,4,55399,64.63491249084473,1.3001728057861328,5930.954,117.858,0.8225306082630116,0.03355144090213003,0.41869353717859625,0.1717194704450557,0.06212461011007141,0.6234870333667701,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,4,55399,62.35591769218445,1.2961549758911133,5723.475,117.603,0.6179844885615335,0.026321407492057112,0.7282835302293259,0.38358597352225277,0.05080657867626561,0.6723487783535366,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,4,55399,59.59881854057312,1.5322036743164062,5477.452,137.272,0.7791552186434506,0.022536431072786835,0.4513574660633484,0.21720776504058237,0.042929383495319724,0.617074850511383,0.9890264490714687,0,0.0,0.0,0,0,0,0
