dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,725.9407470226288,8.62141489982605,157861.336,1907.051,0.9606265029681335,0.1535485592315902,0.39993050729673385,0.03139022326883784,0.22190090611143246,0.684270142013948,0.9606265029681335,0.1535485592315902,0.39993050729673385,0.03139022326883784,0.22190090611143246,0.9575969813582359,0.9962485232324172,0.9955207210196579
Variant I,0,987231,726.1036622524261,8.419464349746704,158384.676,1837.938,0.9584508072776937,0.13706563706563707,0.3700486448922863,0.03317139295114084,0.2000375657400451,0.6684386259705728,0.9584508072776937,0.13706563706563707,0.3700486448922863,0.03317139295114084,0.2000375657400451,0.9810062010980737,0.9884822581394942,0.9106584054971975
Variant II,0,987231,728.3293266296387,8.268000364303589,158634.239,1814.654,0.9070630700941418,0.09283592609374214,0.640722724113968,0.08914471731343875,0.1621740468756871,0.7757890034002647,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,692.2413766384125,9.73727297782898,152068.06,2165.224,0.9445074315601311,0.08749329039184112,0.43024132730015086,0.049786628733997154,0.14541515325304277,0.6902273492830768,0.9445074315601311,0.08749329039184112,0.43024132730015086,0.049786628733997154,0.14541515325304277,0.9714767146808221,0.9927884354220354,0.9711704377405537
Variant IV,0,987231,692.4873585700989,9.74664831161499,150220.564,2166.753,0.9589319408123407,0.09364174768130518,0.31598793363499245,0.03393439879507991,0.14447030428411345,0.6410267674199562,0.9589319408123407,0.09364174768130518,0.31598793363499245,0.03393439879507991,0.14447030428411345,0.9896459583205657,0.9830193811901291,0.9289006107611442
Variant V,0,987231,690.0737206935883,9.953279256820679,150747.102,2164.12,0.9544051441623357,0.10289511153298529,0.40874811463046756,0.03954062421554681,0.16440433760521728,0.6846037452074603,0.9544051441623357,0.10289511153298529,0.40874811463046756,0.03954062421554681,0.16440433760521728,0.9847209003323694,0.977519317978351,0.9913130201174107
Base,1,79954,724.1988427639008,8.527240514755249,157164.699,1856.513,0.9457151079698163,0.12389461208861337,0.4722029186935372,0.04754295439141555,0.19628800462193977,0.7123299821510608,0.9457151079698163,0.12389461208861337,0.4722029186935372,0.04754295439141555,0.19628800462193977,0.9680079541945845,0.9873424029953529,0.9387602341641383
Variant I,1,79954,724.589296579361,8.510251760482788,157754.845,1865.306,0.9660943368616165,0.15122452474738826,0.3068102849200834,0.024518631389389114,0.20259263508087644,0.641145826765347,0.9660943368616165,0.15122452474738826,0.3068102849200834,0.024518631389389114,0.20259263508087644,0.9403379191045593,0.9690418772792888,0.9150372043759369
Variant II,1,79954,725.9573884010315,8.488647699356079,157425.548,1863.028,0.9023023267157699,0.0880926077141073,0.6372480889506602,0.09392377258425187,0.15478752584715363,0.771662158183204,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,694.6461374759674,9.848900556564331,152043.609,2147.819,0.9642904432453905,0.11292411292411292,0.3288084464555053,0.028658689649401724,0.16811258916522073,0.6500748784030517,0.9642904432453905,0.11292411292411292,0.3288084464555053,0.028658689649401724,0.16811258916522073,0.996938613454634,0.9690829479917584,0.9709451966239148
Variant IV,1,79954,694.1152625083923,9.743646383285522,150196.901,2125.672,0.9658131682611142,0.09086931155192532,0.23491704374057315,0.026077315705798677,0.13104753891459825,0.6044198640173872,0.9658131682611142,0.09086931155192532,0.23491704374057315,0.026077315705798677,0.13104753891459825,0.9962506233396287,0.9791682240916202,0.9543671270068264
Variant V,1,79954,694.2899794578552,9.711856603622437,150016.036,2157.816,0.969363434737992,0.13322012966965113,0.32541478129713425,0.02349175801188185,0.18904709748083243,0.6509615116426262,0.969363434737992,0.13322012966965113,0.32541478129713425,0.02349175801188185,0.18904709748083243,0.9837561861129894,0.9916807724451572,0.986923226353333
Base,2,567130,729.051050901413,8.487944841384888,159581.25,1842.724,0.952231831462702,0.1357842620878542,0.4478804725503822,0.040587138171402,0.20839059089806808,0.7036466671894901,0.952231831462702,0.1357842620878542,0.4478804725503822,0.040587138171402,0.20839059089806808,0.9697152858020063,0.9580013551257889,0.9638124724623693
Variant I,2,567130,728.2715044021606,8.513758659362793,158794.992,1862.875,0.9693966147992781,0.15779927448609432,0.27206393328700484,0.020674608671561158,0.19974489795918365,0.6256946623077219,0.9693966147992781,0.15779927448609432,0.27206393328700484,0.020674608671561158,0.19974489795918365,0.9914471506840007,0.9823194705956497,0.9804527116722785
Variant II,2,567130,725.6306264400482,8.374418497085571,156144.745,1852.147,0.9534559289790742,0.13576738084827283,0.4315496872828353,0.03911305483545406,0.2065524696490936,0.6962183162236906,0.9534559289790742,0.13576738084827283,0.4315496872828353,0.03911305483545406,0.2065524696490936,0.9860123110373542,0.9843648781775649,0.970549010857277
