dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,61.24004602432251,1.3401591777801514,4961.656,105.389,0.9240235889781524,0.050799490590066505,0.24947880472550382,0.06637214111500843,0.08441100399717846,0.5915533318052477,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,60.46823811531067,1.335400104522705,4954.766,106.972,0.667221111165309,0.02598401207074151,0.6223071577484364,0.3321393940593276,0.04988510549404637,0.6450838818445545,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,60.10745072364807,1.3508527278900146,5016.678,109.119,0.8193210087312814,0.032154693106187175,0.4079221681723419,0.17482140383511766,0.05961055116910813,0.6165503821686121,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,56.68315029144287,1.557396650314331,4799.397,134.241,0.742870502168228,0.022644476898139976,0.532051282051282,0.25479039410927956,0.04344011206379016,0.6386304439710013,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,0,987231,53.15543866157532,1.54117751121521,4572.386,129.413,0.8363525770465755,0.025367259255447788,0.3717948717948718,0.15849301313697597,0.047494039160906526,0.6066509293289479,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,51.59079909324646,1.5409753322601318,4417.388,128.567,0.8267114105068026,0.024763150880763734,0.385369532428356,0.16839176637938247,0.046535983425540155,0.6084888830244868,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,56.1829719543457,1.360506534576416,4855.034,121.164,0.9859568510957949,0.3333333333333333,0.00034746351633078526,9.89447541964944e-06,0.0006942034015966678,0.5001687845204555,0.9859568510957949,0.3333333333333333,0.00034746351633078526,9.89447541964944e-06,0.0006942034015966678,0,0.38510823460081,0
Variant I,1,79954,59.14191269874573,1.3435301780700684,5144.275,120.894,0.8940832154529047,0.0406301824212272,0.28943710910354414,0.0973076999188649,0.07125748502994013,0.5960647045923396,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,59.44150257110596,1.344672441482544,5190.822,112.857,0.9859323935417784,0.125,0.00034746351633078526,3.463083529574734e-05,0.000693000693000693,0.5001564163405174,0.9859323935417784,0.125,0.00034746351633078526,3.463083529574734e-05,0.000693000693000693,0.7664904418458092,0.8974505506326562,0
Variant III,1,79954,56.33180356025696,1.5628716945648193,4954.98,131.737,0.8398780164851535,0.025161375312870504,0.360105580693816,0.15479876160990713,0.04703622528135543,0.6026534095419545,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,55.4444580078125,1.5918326377868652,4895.94,140.054,0.8425924393392697,0.02732736743689061,0.38574660633484165,0.15233871642540373,0.05103899019632299,0.6167039449547189,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,56.72662353515625,1.6838538646697998,5039.93,150.942,0.8562348968850343,0.028447161161396495,0.3650075414781297,0.1383147853736089,0.052780806979280254,0.6133463780522604,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,59.938278913497925,1.3425536155700684,5353.562,115.902,0.7543204998756164,0.029541717025618672,0.5180681028492008,0.24231570302721475,0.055896080526345385,0.637876199910993,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,59.45494318008423,1.4682097434997559,5326.564,125.397,0.8469977074289059,0.03490384301433376,0.37143849895760944,0.14623117566738567,0.06381137143709895,0.6126036616451119,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,60.5250186920166,1.3441212177276611,5457.49,116.127,0.8736061655528998,0.041739614833678176,0.36448922863099376,0.11914491520392614,0.07490182077829347,0.6226721567135338,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,55.663715839385986,1.6757962703704834,5035.867,153.135,0.8671339666986659,0.025360917762309875,0.29675716440422323,0.1265375282403146,0.04672841705260658,0.5851098180819544,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,55.883641958236694,1.4304988384246826,5049.934,134.636,0.7822337713926313,0.023838560920766798,0.47171945701357465,0.2143209773240733,0.045383638672229276,0.6286992398447507,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,2,567130,55.31739401817322,1.658684492111206,5027.336,143.216,0.8360298255486776,0.024608501118568233,0.3608597285067873,0.15869801690235127,0.046074962085650324,0.601080855802218,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,3,500891,57.38024592399597,1.3528976440429688,5231.32,127.206,0.8327699489295697,0.03295461305097853,0.38498957609451007,0.16085448689724094,0.0607123287671233,0.6120675445986345,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,3,500891,58.660149335861206,1.4582769870758057,5345.349,136.681,0.9698551290180967,0.06552631578947368,0.08651841556636553,0.01756772801931411,0.07457322551662174,0.5344753437735258,0.9698551290180967,0.06552631578947368,0.08651841556636553,0.01756772801931411,0.07457322551662174,0.9460491844282717,0.9990425000722103,0.9704714600136723
Variant II,3,500891,58.24077653884888,1.3412878513336182,5318.635,117.696,0.8117799131749671,0.033618055011362745,0.44718554551772066,0.18302891180020978,0.06253492383566969,0.6320783168587555,0.9859616604068094,0,0.0,0.0,0,0,0,0
