dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Base,0,987231,69.70505094528198,1.5101535320281982,6065.062,121.041,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,0,987231,59.98700928688049,1.4736621379852295,5562.511,127.079,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,0,987231,66.20182752609253,1.5009944438934326,6269.603,132.267,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,0,987231,62.68294429779053,1.7471003532409668,6215.518,161.964,0.9815659240623655,0.10821382007822686,0.09389140271493213,0.008585055643879173,0.10054512416717142,0.5426531735355266,0.9815659240623655,0.10821382007822686,0.09389140271493213,0.008585055643879173,0.10054512416717142,0.9804534664123854,0.9152963528397199,0.9970462209936777
Variant IV,0,987231,62.978076696395874,1.848426103591919,6233.174,172.721,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,0,987231,63.83097529411316,1.7489326000213623,6440.185,157.154,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,1,79954,66.13704538345337,1.5126686096191406,6753.855,149.069,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,1,79954,65.59139776229858,1.483079195022583,6811.331,133.245,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,1,79954,64.91268515586853,1.4771502017974854,6804.037,143.784,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,1,79954,63.995118141174316,1.7364757061004639,6774.601,165.485,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,1,79954,63.250256299972534,1.8710622787475586,6685.991,183.719,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,1,79954,63.63392949104309,1.7448785305023193,6637.537,172.2,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,2,567130,65.11858010292053,1.4909977912902832,6815.821,133.892,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,2,567130,65.36406373977661,1.4631166458129883,6865.561,142.918,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,2,567130,65.37826490402222,1.5143280029296875,6873.588,144.318,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,2,567130,62.58047366142273,1.7495958805084229,6641.463,163.153,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,2,567130,61.812896490097046,1.8372347354888916,6533.613,173.652,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,2,567130,61.79144310951233,1.7397279739379883,6509.8,163.552,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
