dataset,trial,seed,time_train,time_test,energy_train,energy_test,accuracy,precision,recall,fpr,f1_score,auc,accuracy@5FPR,precision@5FPR,recall@5FPR,fpr@5FPR,f1_score@5FPR,fpr_ratio_age,fpr_ratio_income,fpr_ratio_employment
Variant II,57,178392,91.20780038833618,1.4947454929351807,9215.855,151.887,0.9859421491634555,0.16666666666666666,0.00034746351633078526,2.473631092553381e-05,0.0006934812760055479,0.5001613636027026,0.9859421491634555,0.16666666666666666,0.00034746351633078526,2.473631092553381e-05,0.0006934812760055479,0.24466502212302754,0.5380729597289721,0.358805992678969
Variant III,57,178392,87.94773197174072,1.780045747756958,8200.94,65.964,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,57,178392,86.88468742370605,1.873544692993164,8951.958,182.691,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,57,178392,87.22300410270691,1.7474746704101562,7872.485,183.227,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,58,921914,91.75125002861023,1.4909422397613525,9377.892,153.902,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,58,921914,91.41750025749207,1.4936189651489258,9443.386,153.196,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,58,921914,92.1404161453247,1.5014865398406982,9460.583,151.373,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,58,921914,87.74665760993958,1.7740097045898438,7991.973,177.286,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,58,921914,88.3124487400055,1.8801262378692627,8213.837,183.377,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,58,921914,88.0148093700409,1.7578160762786865,9010.708,173.556,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,59,348365,91.82477498054504,1.515127182006836,9513.774,155.508,0.9272819507245953,0.1009156050955414,0.5284920083391244,0.06704001820583477,0.16947075208913648,0.7307259950666448,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,59,348365,92.05991077423096,1.50970458984375,9387.366,153.535,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,59,348365,92.3506805896759,1.511507511138916,8832.877,153.346,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,59,348365,87.82876706123352,1.7834022045135498,8970.171,181.955,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,59,348365,87.25975441932678,1.8809447288513184,7771.753,180.26,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,59,348365,87.20260643959045,1.7872703075408936,8812.504,183.666,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,60,377482,92.06227326393127,1.5107035636901855,9421.89,141.885,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,60,377482,91.38265204429626,1.4891855716705322,9155.941,151.439,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,60,377482,91.89152669906616,1.5211517810821533,9310.847,151.533,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,60,377482,88.24395203590393,1.7722764015197754,8783.363,63.236,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,60,377482,87.3640718460083,1.8733594417572021,7710.7,176.742,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,60,377482,88.80202007293701,1.7564396858215332,7768.693,174.46,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,61,44792,92.06430768966675,1.4993157386779785,9209.252,149.211,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,61,44792,91.47788715362549,1.5195107460021973,9095.462,162.242,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,61,44792,91.78660130500793,1.5262162685394287,8869.46,153.237,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,61,44792,87.63195729255676,1.7733080387115479,8954.934,170.85,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,61,44792,87.21011638641357,1.8981435298919678,8879.023,192.997,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,61,44792,87.60589098930359,1.7630226612091064,8855.818,175.613,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,62,690927,91.5842022895813,1.5186879634857178,9382.88,152.143,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,62,690927,91.62347221374512,1.4970622062683105,9352.311,151.836,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,62,690927,91.5343861579895,1.5197455883026123,9319.09,163.632,0.985956782595971,0.0,0.0,4.947262185106762e-06,0,0.49999752636890743,0.985956782595971,0.0,0.0,4.947262185106762e-06,0,0,0,0
Variant III,62,690927,87.8524112701416,1.770486831665039,8966.843,173.897,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,62,690927,87.07690238952637,1.8845531940460205,8914.883,184.883,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,62,690927,87.13269352912903,1.786146640777588,8040.29,181.229,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,63,50313,90.97249031066895,1.4949958324432373,9147.378,153.344,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,63,50313,91.44506406784058,1.4980716705322266,9325.502,153.237,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,63,50313,92.30183839797974,1.4941234588623047,8489.385,58.542,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,63,50313,87.67507982254028,1.750807285308838,8561.175,170.079,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,63,50313,86.904531955719,1.8888113498687744,7596.933,188.936,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,63,50313,87.36451649665833,1.77756667137146,7959.664,180.858,0.8908065477175676,0.05893938830874429,0.5980392156862745,0.1059451091958832,0.10730354182876088,0.7460470532451957,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,64,780881,92.07638931274414,1.4812593460083008,8856.064,149.976,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,64,780881,90.72511529922485,1.4841485023498535,9161.849,152.162,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,64,780881,90.17188787460327,1.499176025390625,8997.583,156.256,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,64,780881,88.2174186706543,1.7498185634613037,8476.324,182.955,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,64,780881,86.37993860244751,1.8676648139953613,7691.485,181.833,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,64,780881,85.44534397125244,1.7597508430480957,8640.479,171.056,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,65,18958,89.35414218902588,1.4911930561065674,9170.659,149.881,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,65,18958,91.39183235168457,1.512991189956665,8228.696,152.041,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,65,18958,92.47378897666931,1.5286571979522705,8395.926,149.663,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,65,18958,87.90346837043762,1.7480571269989014,8876.631,171.356,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,65,18958,87.6060118675232,1.888551950454712,7828.768,188.782,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,65,18958,87.95115661621094,1.7701454162597656,8902.405,172.757,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,66,804703,92.26347947120667,1.5251798629760742,8395.154,128.392,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,66,804703,91.58452439308167,1.5194478034973145,8260.07,129.89,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,66,804703,91.88063621520996,1.495065689086914,8495.981,148.655,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,66,804703,88.52568364143372,1.7727532386779785,7767.952,170.326,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,66,804703,87.77917408943176,1.8894507884979248,7867.934,115.099,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,66,804703,87.69158911705017,1.7662956714630127,7565.189,166.701,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,67,8985,91.81180715560913,1.5178496837615967,9064.909,133.215,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,67,8985,91.44291663169861,1.5330870151519775,8774.035,102.826,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant II,67,8985,92.2606086730957,1.5077714920043945,8896.551,152.723,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,67,8985,87.84558200836182,1.7515301704406738,7600.013,178.013,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,67,8985,87.71934103965759,1.8779211044311523,8772.104,166.613,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,67,8985,87.70976066589355,1.7657701969146729,8295.249,43.5,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,68,99901,91.72402834892273,1.4885692596435547,8408.625,37.479,0.9859617288828404,0,0.0,0.0,0,0.5,0.9859617288828404,0,0.0,0.0,0,0,0,0
Variant I,68,99901,91.99905180931091,1.5198137760162354,8250.625,37.819,0.9518608848348861,0.12149431510557661,0.3898540653231411,0.04013713810777116,0.18525551060843726,0.6748584636076849,0.9518608848348861,0.12149431510557661,0.3898540653231411,0.04013713810777116,0.18525551060843726,0.9669528044903104,0.9736974197060678,0.9541755495811285
Variant II,68,99901,91.85154032707214,1.5070056915283203,8265.687,147.771,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,68,99901,87.91582679748535,1.7719545364379883,7525.635,167.89,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant IV,68,99901,87.3492112159729,1.8691320419311523,8721.001,189.959,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Variant V,68,99901,88.01286363601685,1.7747104167938232,8889.327,181.638,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
Base,69,655318,91.86554193496704,1.4988112449645996,9080.941,124.244,0.9467101765271132,0.1209609043805935,0.4461431549687283,0.046162675070374456,0.19032090713703398,0.699990239949177,0.9467101765271132,0.1209609043805935,0.4461431549687283,0.046162675070374456,0.19032090713703398,0.986131152794766,0.989080132426756,0.9317117024198597
Variant I,69,655318,91.579754114151,1.5176939964294434,8305.844,38.389,0.9441929661967708,0.11024123805188894,0.42077831827658096,0.04835454059723349,0.17470965880401068,0.6862118888396737,0.9441929661967708,0.11024123805188894,0.42077831827658096,0.04835454059723349,0.17470965880401068,0.9492800243152989,0.994231779357037,0.9545095258465034
Variant II,69,655318,92.24543905258179,1.5027856826782227,8062.11,145.405,0.9859616604068094,0,0.0,0.0,0,0.5,0.9859616604068094,0,0.0,0.0,0,0,0,0
Variant III,69,655318,88.18583106994629,1.778177261352539,8813.596,179.147,0.947929425005793,0.08740445330674643,0.39668174962292607,0.04595431344657351,0.14324618736383443,0.6753637180881763,0.947929425005793,0.08740445330674643,0.39668174962292607,0.04595431344657351,0.14324618736383443,0.9783339673236295,0.9965532070970862,0.9783712017982127
Variant IV,69,655318,87.9915680885315,1.899878740310669,7811.744,159.41,0.9890264490714687,0,0.0,0.0,0,0.5,0.9890264490714687,0,0.0,0.0,0,0,0,0
